Gene,rep_1,rep_2,rep_3,rep_4
1810012K16Rik,45,52,42,42
1810014B01Rik,100,100,100,100
1810017P11Rik,0,0,0,0
1810019D21Rik,69,75,67,74
1810019N24Rik,100,100,100,100
1810021B22Rik,70,65,73,61
1810024B03Rik,79,82,79,77
1810028F09Rik,0,0,0,0
1810030O07Rik,92,92,93,93
1810034E14Rik,90,84,84,76
1810037I17Rik,98,98,98,98
1810041H14Rik,100,100,100,100
1810044D09Rik,100,100,100,100
1810049J17Rik,0,0,0,0
1810053B23Rik,81,62,57,53
1810055G02Rik,91,91,91,90
1810058N15Rik,100,100,100,100
1810059C17Rik,23,19,28,28
1810059H22Rik,100,100,100,100
1810062G17Rik,44,44,46,51
1810062O18Rik,56,62,64,57
1810064F22Rik,37,50,38,27
1810073O08Rik,100,100,100,100
2010001A14Rik,97,98,97,97
2010001K21Rik,100,100,100,100
2010002M09Rik,0,0,0,0
2010003K11Rik,91,92,93,94
2010004M13Rik,0,0,0,0
2010007H06Rik,74,75,80,78
2010008C14Rik,0,0,0,0
2010010A06Rik,100,100,100,100
2010013B24Rik,100,100,100,100
2010016I18Rik,58,57,61,38
2010103J01Rik,0,0,0,0
2010106G04Rik,0,0,0,0
2010109A12Rik,67,60,62,70
2010109P13Rik,0,0,0,0
2010110E17Rik,0,0,0,0
2010110K18Rik,0,0,0,0
2010204K13Rik,100,100,100,100
2010309G21Rik,26,30,11,31
2010310C07Rik,33,25,41,40
2010315B03Rik,80,83,81,80
2010320M18Rik,0,0,0,0
2200002D01Rik,96,90,94,92
2200002J24Rik,100,100,100,100
2210009P08Rik,0,0,0,0
2210016L21Rik,94,95,96,95
2210022D18Rik,36,29,17,21
2210039B01Rik,62,54,40,64
2210406H18Rik,0,0,0,0
2210408F21Rik,84,83,89,81
2210408I21Rik,96,96,96,96
2210412B16Rik,0,0,0,0
2210417A02Rik,100,100,100,100
2300002M23Rik,100,100,100,100
2300009A05Rik,75,77,77,74
2310001H17Rik,93,87,92,80
2310001K24Rik,100,100,100,100
2310002F09Rik,66,68,73,61
2310002L09Rik,77,81,82,98
2310003L06Rik,100,100,100,100
2310008N11Rik,100,100,100,100
2310009B15Rik,88,90,88,89
2310010J17Rik,94,95,94,94
2310011J03Rik,91,92,93,93
2310014F06Rik,89,83,84,88
2310015A10Rik,86,86,91,89
2310015D24Rik,59,56,44,42
2310016D03Rik,0,0,0,0
2310016G11Rik,28,22,13,15
2310022A10Rik,95,94,95,95
2310022B05Rik,96,96,96,96
2310026I22Rik,0,0,0,0
2310026L22Rik,31,28,27,31
2310030G06Rik,91,92,94,91
2310033P09Rik,83,84,85,83
2310034G01Rik,100,100,100,100
2310034O05Rik,100,100,100,100
2310039H08Rik,0,0,0,0
2310040G07Rik,100,100,100,100
2310040G24Rik,90,93,92,83
2310043M15Rik,75,86,82,98
2310043P16Rik,0,0,0,0
2310047K21Rik,90,90,92,91
2310057J18Rik,100,100,100,100
2310057M21Rik,84,85,88,85
2310058D17Rik,79,75,76,72
2310061I04Rik,95,95,95,95
2310065F04Rik,54,51,45,26
2310068J16Rik,0,0,0,0
2310069B03Rik,100,100,100,100
2310069G16Rik,52,36,51,49
2310074N15Rik,0,0,0,0
2310075C17Rik,0,0,0,0
2310079G19Rik,0,0,0,0
2410002F23Rik,88,87,88,88
2410003L11Rik,53,51,49,47
2410004B18Rik,94,94,94,93
2410004I01Rik,100,100,100,100
2410004P03Rik,69,78,72,77
2410006H16Rik,99,99,99,99
2410018L13Rik,40,38,42,30
2410022M11Rik,0,0,0,0
2410124H12Rik,100,100,100,100
2410137M14Rik,27,28,31,41
2500002B13Rik,86,85,87,86
2500004C02Rik,60,63,66,66
2510002D24Rik,83,84,82,81
2510009E07Rik,91,91,92,91
2510016D11Rik,0,0,0,0
2510017J16Rik,0,0,0,0
2510039O18Rik,90,89,91,89
2510046G10Rik,26,32,41,33
2600006K01Rik,100,100,100,100
2600014E21Rik,100,100,100,100
2610001A08Rik,0,0,0,0
2610005L07Rik,99,99,99,99
2610008E11Rik,93,93,93,93
2610011E03Rik,0,0,0,0
2610012C04Rik,0,0,0,0
2610016A17Rik,100,100,100,100
2610017A05Rik,100,100,100,100
2610020C07Rik,83,85,87,83
2610021A01Rik,95,95,95,94
2610024D14Rik,0,0,0,0
2610027K06Rik,58,41,55,46
2610028D06Rik,0,0,0,0
2610028H24Rik,100,100,100,100
2610029K11Rik,60,52,54,60
2610035D17Rik,80,82,79,61
2610035F20Rik,100,100,100,100
2610037D02Rik,93,93,92,93
2610042L04Rik,100,100,100,100
2610203C22Rik,75,78,76,73
2610204G07Rik,51,48,28,26
2610300M13Rik,100,100,100,100
2610306M01Rik,94,90,93,95
2610306O10Rik,0,0,0,0
2610307P16Rik,72,73,77,76
2610316D01Rik,23,28,31,30
2610318N02Rik,86,80,76,84
2610507I01Rik,0,0,0,0
2610528J11Rik,98,97,98,91
2700016F22Rik,0,0,0,0
2700029L08Rik,0,0,0,0
2700033N17Rik,100,100,100,100
2700038G22Rik,91,90,91,90
2700046A07Rik,100,100,100,100
2700049A03Rik,93,92,92,92
2700052C19Rik,0,0,0,0
2700054A10Rik,100,100,100,100
2700062C07Rik,95,95,94,94
2700068H02Rik,0,0,0,0
2700069I18Rik,35,35,30,37
2700078F05Rik,0,0,0,0
2700097O09Rik,93,93,94,94
2700099C18Rik,74,54,70,68
2810001A02Rik,96,96,97,96
2810001G20Rik,100,100,100,100
2810002D19Rik,84,85,86,83
2810004N23Rik,94,95,95,94
2810013P06Rik,0,0,0,0
2810021J22Rik,92,92,91,90
2810029C07Rik,100,100,100,100
2810030D12Rik,100,100,100,100
2810032G03Rik,79,64,75,75
2810036E18Rik,0,0,0,0
2810402E24Rik,0,0,0,0
2810403D21Rik,87,88,91,90
2810405F17Rik,0,0,0,0
2810407A14Rik,100,100,100,100
2810408A11Rik,89,93,91,92
2810408I11Rik,86,94,90,87
2810414N06Rik,100,100,100,100
2810428J06Rik,0,0,0,0
2810429I04Rik,93,91,82,88
2810430I11Rik,0,0,0,0
2810433D01Rik,100,100,100,100
2810442N19Rik,100,100,100,100
2810449D17Rik,93,81,93,92
2810454H06Rik,0,0,0,0
2810455O05Rik,81,76,72,78
2810459M11Rik,88,90,92,91
2810461L16Rik,0,0,0,0
2900002M20Rik,0,0,0,0
2900005J15Rik,33,27,37,40
2900009J06Rik,85,84,84,78
2900022M07Rik,0,0,0,0
2900026A02Rik,96,96,96,95
2900027M19Rik,0,0,0,0
2900040C04Rik,100,100,100,100
2900041M22Rik,100,100,100,100
2900045O20Rik,100,100,100,100
2900052L18Rik,73,73,75,70
2900052N01Rik,78,66,68,77
2900060B14Rik,0,0,0,0
2900060N12Rik,86,77,88,76
2900064F13Rik,0,0,0,0
2900064K03Rik,0,0,0,0
2900072N19Rik,0,0,0,0
2900076A07Rik,100,100,100,100
2900076G11Rik,0,0,0,0
2900079G21Rik,36,48,67,32
2900089D17Rik,24,26,26,27
2900092N22Rik,0,0,0,0
2900093K20Rik,0,0,0,0
3010001F23Rik,55,59,46,53
3010003L21Rik,100,100,100,100
3110009E18Rik,96,96,96,95
3110039M20Rik,17,22,32,43
3110040N11Rik,98,98,98,98
3110045C21Rik,100,100,100,100
3110053B16Rik,37,29,37,36
3110056K07Rik,89,90,89,90
3110070M22Rik,100,100,100,100
3110080E11Rik,0,0,0,0
3110080O07Rik,0,0,0,0
3110082I17Rik,95,95,95,95
3110082J24Rik,100,100,100,100
3110083C13Rik,100,100,100,100
3110099E03Rik,100,100,100,100
3222401L13Rik,100,100,100,100
3300002A11Rik,45,63,65,54
3300002I08Rik,76,70,73,73
3300002P09Rik,0,0,0,0
3300002P13Rik,100,100,100,100
3300005D01Rik,100,100,100,100
3425401B19Rik,63,77,81,73
3632454L22Rik,67,81,76,78
3830403N18Rik,100,100,100,100
3830408C21Rik,100,100,100,100
3830432H09Rik,51,48,50,50
4122401K19Rik,0,0,0,0
4631405J19Rik,100,100,100,100
4632404H12Rik,66,63,68,58
4632404M16Rik,0,0,0,0
4632411P08Rik,100,100,100,100
4632415L05Rik,0,0,0,0
4632418H02Rik,0,0,0,0
4632427E13Rik,32,33,32,36
4632428C04Rik,100,100,100,100
4632432E15Rik,0,0,0,0
4633401B06Rik,0,0,0,0
4732414G09Rik,100,100,100,100
4732416N19Rik,0,0,0,0
4732419C18Rik,48,42,49,54
4732440D04Rik,84,86,90,90
4732463B04Rik,29,22,27,34
4732465J04Rik,100,100,100,100
4732471J01Rik,86,83,85,84
4732491K20Rik,92,91,93,93
4732496C06Rik,0,0,0,0
4833403J16Rik,0,0,0,0
4833404L02Rik,0,0,0,0
4833407H14Rik,100,100,100,100
4833411C07Rik,60,52,39,60
4833412C15Rik,0,0,0,0
4833412K13Rik,0,0,0,0
4833413G10Rik,0,0,0,0
4833415N18Rik,100,100,100,100
4833417C18Rik,83,79,80,81
4833418N02Rik,42,39,43,33
4833419F23Rik,57,68,68,60
4833420G17Rik,92,91,92,93
4833421G17Rik,0,0,0,0
4833421K07Rik,0,0,0,0
4833422C13Rik,35,37,35,37
4833427F10Rik,0,0,0,0
4833438C02Rik,100,100,100,100
4833439L19Rik,96,96,97,97
4833445I07Rik,30,34,24,35
4921504A21Rik,42,32,48,39
4921507G05Rik,100,100,100,100
4921515G04Rik,15,13,5,9
4921517D16Rik,100,100,100,100
4921520J07Rik,0,0,0,0
4921524J17Rik,95,95,95,95
4921531C22Rik,74,71,77,73
4921534A09Rik,0,0,0,0
4921536K21Rik,100,100,100,100
4921539H07Rik,0,0,0,0
4930403O15Rik,0,0,0,0
4930403P22Rik,0,0,0,0
4930404I05Rik,100,100,100,100
4930405A21Rik,63,50,52,59
4930405D11Rik,20,23,25,14
4930405O22Rik,0,0,0,0
4930408O17Rik,100,100,100,100
4930412F12Rik,0,0,0,0
4930412M03Rik,53,40,45,31
4930413G21Rik,0,0,0,0
4930423D22Rik,0,0,0,0
4930423K06Rik,30,20,29,39
4930426D05Rik,74,55,44,30
4930426I24Rik,100,100,100,100
4930426L09Rik,45,37,51,46
4930429F24Rik,72,72,68,67
4930430E12Rik,100,100,100,100
4930431P19Rik,0,0,0,0
4930431P22Rik,100,100,100,100
4930432B10Rik,71,71,68,56
4930434J08Rik,0,0,0,0
4930438A08Rik,100,100,100,100
4930439D14Rik,42,57,52,49
4930442G10Rik,100,100,100,100
4930444M15Rik,34,50,30,56
4930444P10Rik,100,100,100,100
4930445E18Rik,100,100,100,100
4930445N08Rik,100,100,100,100
4930445N18Rik,100,100,100,100
4930447C04Rik,100,100,100,100
4930447F24Rik,100,100,100,100
4930447K03Rik,0,0,0,0
4930447M23Rik,100,100,100,100
4930448D08Rik,0,0,0,0
4930452G13Rik,100,100,100,100
4930453H23Rik,100,100,100,100
4930453N24Rik,97,97,97,97
4930455C13Rik,100,100,100,100
4930455G09Rik,100,100,100,100
4930456G14Rik,0,0,0,0
4930458D05Rik,100,100,100,100
4930459C07Rik,100,100,100,100
4930461G14Rik,100,100,100,100
4930466K18Rik,0,0,0,0
4930469K13Rik,100,100,100,100
4930470G03Rik,44,45,49,28
4930471C04Rik,0,0,0,0
4930471M09Rik,100,100,100,100
4930477E14Rik,0,0,0,0
4930477O15Rik,0,0,0,0
4930478L05Rik,0,0,0,0
4930479D17Rik,60,31,46,52
4930481B07Rik,23,21,36,23
4930483P17Rik,100,100,100,100
4930486L24Rik,100,100,100,100
4930488L21Rik,4,15,11,11
4930500F10Rik,100,100,100,100
4930500G05Rik,20,18,14,20
4930500L23Rik,100,100,100,100
4930503L19Rik,95,94,93,94
4930505N22Rik,0,0,0,0
4930506C21Rik,100,100,100,100
4930507D05Rik,100,100,100,100
4930509G22Rik,63,72,62,59
4930509H03Rik,0,0,0,0
4930512J16Rik,100,100,100,100
4930513N10Rik,100,100,100,100
4930517E14Rik,0,0,0,0
4930517J16Rik,0,0,0,0
4930517L18Rik,0,0,0,0
4930517M08Rik,100,100,100,100
4930518I15Rik,80,77,74,82
4930519K11Rik,0,0,0,0
4930519P11Rik,0,0,0,0
4930520O04Rik,25,20,27,13
4930522L14Rik,90,89,89,90
4930523C07Rik,90,90,88,82
4930524O07Rik,100,100,100,100
4930525G20Rik,100,100,100,100
4930527F14Rik,100,100,100,100
4930532G15Rik,100,100,100,100
4930534D22Rik,100,100,100,100
4930535L15Rik,100,100,100,100
4930537H20Rik,100,100,100,100
4930539J05Rik,100,100,100,100
4930547E14Rik,100,100,100,100
4930547M16Rik,100,100,100,100
4930549G23Rik,96,96,97,96
4930550C14Rik,100,100,100,100
4930551E15Rik,0,0,0,0
4930551O13Rik,100,100,100,100
4930555A03Rik,100,100,100,100
4930556M19Rik,100,100,100,100
4930557F10Rik,100,100,100,100
4930558J18Rik,100,100,100,100
4930558J22Rik,0,0,0,0
4930558N01Rik,31,32,29,28
4930562C15Rik,14,26,6,12
4930562F17Rik,0,0,0,0
4930563E22Rik,52,62,61,71
4930570G19Rik,76,78,82,63
4930571N24Rik,100,100,100,100
4930572G02Rik,34,29,38,46
4930577N17Rik,0,0,0,0
4930578G10Rik,100,100,100,100
4930578M01Rik,49,46,59,58
4930578M07Rik,71,81,82,67
4930579G24Rik,95,96,98,98
4930579K19Rik,14,27,28,18
4930581F22Rik,77,77,76,75
4930583K01Rik,100,100,100,100
4930589L23Rik,100,100,100,100
4930589O11Rik,0,0,0,0
4930590J08Rik,100,100,100,100
4930593A02Rik,100,100,100,100
4930594C11Rik,0,0,0,0
4930594M22Rik,0,0,0,0
4930597A21Rik,100,100,100,100
4930597O21Rik,100,100,100,100
4930598N05Rik,28,47,37,28
4930599N23Rik,0,0,0,0
4931406C07Rik,96,96,95,96
4931408D14Rik,41,41,38,50
4931414P19Rik,88,89,90,89
4931415C17Rik,60,48,63,55
4931431B13Rik,100,100,100,100
4932441J04Rik,100,100,100,100
4933404O12Rik,93,90,92,92
4933405D12Rik,100,100,100,100
4933406C10Rik,100,100,100,100
4933406I18Rik,82,79,80,70
4933406P04Rik,0,0,0,0
4933407K13Rik,91,90,90,90
4933407L21Rik,100,100,100,100
4933411K16Rik,0,0,0,0
4933412E12Rik,70,78,76,84
4933412O06Rik,56,38,62,58
4933415A04Rik,0,0,0,0
4933416M07Rik,100,100,100,100
4933417C20Rik,0,0,0,0
4933417D19Rik,100,100,100,100
4933417O13Rik,100,100,100,100
4933421O10Rik,91,89,87,90
4933425D22Rik,0,0,0,0
4933425M03Rik,0,0,0,0
4933426B08Rik,100,100,100,100
4933427D14Rik,93,92,93,92
4933427E11Rik,83,88,83,86
4933428P19Rik,0,0,0,0
4933430A20Rik,100,100,100,100
4933430I17Rik,100,100,100,100
4933431E20Rik,100,100,100,100
4933431K14Rik,0,0,0,0
4933431K23Rik,100,100,100,100
4933432I09Rik,17,30,25,20
4933433G15Rik,42,39,31,43
4933434E20Rik,100,100,100,100
4933439C10Rik,92,92,92,93
4933439K11Rik,82,74,71,76
4933440J02Rik,100,100,100,100
4933440N22Rik,66,66,66,65
5031415H12Rik,0,0,0,0
5031425E22Rik,90,90,91,91
5031434O11Rik,64,65,54,60
5031439G07Rik,98,98,98,97
5033403H07Rik,40,59,60,39
5033406O09Rik,100,100,100,100
5033417F24Rik,41,46,49,52
5033421B08Rik,41,39,43,40
5033425G24Rik,100,100,100,100
5033430I15Rik,92,83,86,93
5330406M23Rik,0,0,0,0
5330413P13Rik,100,100,100,100
5330425B07Rik,0,0,0,0
5330431K02Rik,0,0,0,0
5330432J10Rik,0,0,0,0
5330434G04Rik,45,41,30,57
5330438D12Rik,100,100,100,100
5330439A09Rik,23,17,22,38
5330439K02Rik,32,34,40,43
5430400D12Rik,81,87,87,88
5430402O13Rik,94,93,92,92
5430405H02Rik,90,91,93,92
5430414B12Rik,100,100,100,100
5430414B19Rik,0,0,0,0
5430416N02Rik,92,90,91,91
5430420F09Rik,0,0,0,0
5430427G11Rik,0,0,0,0
5430430B14Rik,0,0,0,0
5430431A17Rik,80,84,88,80
5430434F05Rik,0,0,0,0
5430437J10Rik,10,13,14,15
5530601H04Rik,98,98,98,98
5730405O15Rik,76,75,77,79
5730408A14Rik,0,0,0,0
5730409E04Rik,93,96,95,98
5730409N16Rik,25,34,26,37
5730414N17Rik,0,0,0,0
5730416F02Rik,0,0,0,0
5730419F03Rik,100,100,100,100
5730420D15Rik,100,100,100,100
5730424H11Rik,0,0,0,0
5730435O14Rik,100,100,100,100
5730455P16Rik,95,95,95,95
5730460C07Rik,77,72,77,70
5730471H19Rik,95,97,95,94
5730480H06Rik,95,95,95,95
5730507A11Rik,0,0,0,0
5730507C01Rik,100,100,100,100
5730521K06Rik,0,0,0,0
5730522E02Rik,13,22,23,19
5830408C22Rik,0,0,0,0
5830417I10Rik,74,72,74,75
5830418P13Rik,34,34,36,32
5830428M24Rik,42,30,28,50
5830432E09Rik,36,37,43,26
5830448L01Rik,0,0,0,0
5830454E08Rik,41,81,86,65
5830487J09Rik,100,100,100,100
5930403N24Rik,100,100,100,100
5930411N13Rik,100,100,100,100
5930420M18Rik,0,0,0,0
5930430L01Rik,35,38,28,33
5930438M14Rik,100,100,100,100
6030400A10Rik,0,0,0,0
6030440G07Rik,100,100,100,100
6030442K20Rik,82,73,81,83
6030443J06Rik,100,100,100,100
6030445D17Rik,0,0,0,0
6030452D12Rik,100,100,100,100
6030458C11Rik,90,90,90,90
6030460B20Rik,0,0,0,0
6030468B19Rik,45,51,36,44
6230400D17Rik,27,29,30,19
6230426M11Rik,0,0,0,0
6330403K07Rik,94,89,91,95
6330403L08Rik,73,65,67,76
6330408M09Rik,0,0,0,0
6330409D20Rik,48,43,43,48
6330411D24Rik,100,100,100,100
6330415B21Rik,0,0,0,0
6330415G19Rik,100,100,100,100
6330418K02Rik,68,72,79,77
6330419E04Rik,0,0,0,0
6330420H09Rik,100,100,100,100
6330549D23Rik,54,57,45,53
6330562C20Rik,62,67,66,62
6430511E19Rik,0,0,0,0
6430548M08Rik,91,95,96,95
6430550D23Rik,75,71,57,67
6430571L13Rik,87,84,88,83
6430573P05Rik,100,100,100,100
6430584L05Rik,63,62,76,82
6430590A07Rik,72,66,66,67
6430710M23Rik,0,0,0,0
6530401F13Rik,0,0,0,0
6530402F18Rik,85,83,81,80
6530403H02Rik,38,53,40,30
6530409C15Rik,100,100,100,100
6530411M01Rik,100,100,100,100
6530413G14Rik,100,100,100,100
6530437J22Rik,100,100,100,100
6720407P12Rik,0,0,0,0
6720427I07Rik,80,80,80,80
6720464F23Rik,0,0,0,0
6720470G18Rik,68,74,55,51
6720475M21Rik,0,0,0,0
6720482G16Rik,0,0,0,0
6820402A03Rik,0,0,0,0
6820408C15Rik,59,60,55,65
6820431F20Rik,87,87,88,87
6820445E23Rik,0,0,0,0
7120432I05Rik,0,0,0,0
7330423F06Rik,0,0,0,0
7530414M10Rik,100,100,100,100
8030423J24Rik,100,100,100,100
8030442B05Rik,100,100,100,100
8030445P17Rik,0,0,0,0
8030453O22Rik,72,60,72,53
8030456M14Rik,0,0,0,0
8030474K03Rik,100,100,100,100
8030487O14Rik,0,0,0,0
8430406P12Rik,0,0,0,0
8430419K02Rik,0,0,0,0
8430422M14Rik,0,0,0,0
8430426J06Rik,100,100,100,100
8430429K09Rik,100,100,100,100
8430432A02Rik,0,0,0,0
9030404E10Rik,25,26,43,43
9030407P20Rik,78,74,83,77
9030616G12Rik,100,100,100,100
9030622O22Rik,40,51,44,44
9030624G23Rik,23,26,28,23
9130002K18Rik,0,0,0,0
9130004C02Rik,82,80,81,77
9130008F23Rik,71,81,76,78
9130016M20Rik,0,0,0,0
9130017K11Rik,100,100,100,100
9130024F11Rik,82,86,81,92
9130204K15Rik,100,100,100,100
9130214F15Rik,0,0,0,0
9130221H12Rik,0,0,0,0
9130230L23Rik,76,68,64,69
9130230N09Rik,100,100,100,100
9130401M01Rik,98,98,98,98
9130604C24Rik,0,0,0,0
9230009I02Rik,100,100,100,100
9230102K24Rik,100,100,100,100
9230109A22Rik,100,100,100,100
9230111E07Rik,82,85,78,76
9230112E08Rik,25,28,22,21
9230112J17Rik,100,100,100,100
9230114K14Rik,100,100,100,100
9230116L04Rik,100,100,100,100
9230116N13Rik,100,100,100,100
9230117E06Rik,100,100,100,100
9330020H09Rik,59,72,67,72
9330102E08Rik,100,100,100,100
9330104G04Rik,100,100,100,100
9330111N05Rik,18,23,25,29
9330117O12Rik,100,100,100,100
9330118I20Rik,100,100,100,100
9330121J05Rik,0,0,0,0
9330121K16Rik,0,0,0,0
9330133O14Rik,30,31,31,26
9330136K24Rik,43,45,44,52
9330151L19Rik,68,64,71,65
9330154J02Rik,41,48,44,44
9330158H04Rik,100,100,100,100
9330159F19Rik,82,86,94,81
9330159M07Rik,75,79,83,77
9330160F10Rik,0,0,0,0
9330161L09Rik,100,100,100,100
9330162012Rik,59,44,37,37
9330162G02Rik,0,0,0,0
9330171B17Rik,54,36,48,45
9330175E14Rik,100,100,100,100
9330179D12Rik,100,100,100,100
9330188P03Rik,100,100,100,100
9330198I05Rik,0,0,0,0
9430002A10Rik,95,70,71,75
9430015G10Rik,88,89,89,88
9430021M05Rik,28,33,42,42
9430031K09Rik,0,0,0,0
9430034N14Rik,0,0,0,0
9430037G07Rik,80,89,87,88
9430037O13Rik,0,0,0,0
9430038I01Rik,96,96,95,96
9430041J12Rik,44,35,46,43
9430053O09Rik,0,0,0,0
9430060I03Rik,76,86,82,82
9430062P05Rik,0,0,0,0
